,has_desc,is_docile,description,has_goal,care_difficulty,selection,PS Score
0,0,0,0,0,0,0,1.3333333333333333
1,0,0,0,0,0,1,1.5
2,0,0,0,0,1,0,1.3333333333333333
3,0,0,0,0,1,1,1.6666666666666667
4,0,0,0,1,0,0,1.5
5,0,0,0,1,0,1,1.6666666666666667
6,0,0,0,1,1,0,1.5
7,0,0,0,1,1,1,1.6666666666666667
8,0,1,0,0,0,0,1.0
9,0,1,0,0,0,1,1.1666666666666667
10,0,1,0,0,1,0,1.0
11,0,1,0,0,1,1,1.1666666666666667
12,0,1,0,1,0,0,1.1666666666666667
13,0,1,0,1,0,1,1.1666666666666667
14,0,1,0,1,1,0,1.1666666666666667
15,0,1,0,1,1,1,1.1666666666666667
16,1,0,0,0,0,0,2.0
17,1,0,0,0,0,1,2.3333333333333335
18,1,0,0,0,1,0,2.0
19,1,0,0,0,1,1,2.1666666666666665
20,1,0,0,1,0,0,2.6666666666666665
21,1,0,0,1,0,1,2.6666666666666665
22,1,0,0,1,1,0,2.1666666666666665
23,1,0,0,1,1,1,2.1666666666666665
24,1,0,1,0,0,0,1.8333333333333333
25,1,0,1,0,0,1,1.8333333333333333
26,1,0,1,0,1,0,1.1666666666666667
27,1,0,1,0,1,1,1.8333333333333333
28,1,0,1,1,0,0,1.6666666666666667
29,1,0,1,1,0,1,2.1666666666666665
30,1,0,1,1,1,0,1.6666666666666667
31,1,0,1,1,1,1,2.1666666666666665
32,1,0,2,0,0,0,2.0
33,1,0,2,0,0,1,1.8333333333333333
34,1,0,2,0,1,0,2.0
35,1,0,2,0,1,1,1.6666666666666667
36,1,0,2,1,0,0,2.0
37,1,0,2,1,0,1,2.1666666666666665
38,1,0,2,1,1,0,1.6666666666666667
39,1,0,2,1,1,1,2.1666666666666665
40,1,0,3,0,0,0,1.8333333333333333
41,1,0,3,0,0,1,1.6666666666666667
42,1,0,3,0,1,0,1.3333333333333333
43,1,0,3,0,1,1,1.3333333333333333
44,1,0,3,1,0,0,1.3333333333333333
45,1,0,3,1,0,1,2.3333333333333335
46,1,0,3,1,1,0,1.3333333333333333
47,1,0,3,1,1,1,2.0
48,1,0,4,0,0,0,1.1666666666666667
49,1,0,4,0,0,1,1.3333333333333333
50,1,0,4,0,1,0,1.1666666666666667
51,1,0,4,0,1,1,1.1666666666666667
52,1,0,4,1,0,0,1.3333333333333333
53,1,0,4,1,0,1,2.1666666666666665
54,1,0,4,1,1,0,1.5
55,1,0,4,1,1,1,2.0
56,1,1,0,0,0,0,1.3333333333333333
57,1,1,0,0,0,1,1.3333333333333333
58,1,1,0,0,1,0,1.3333333333333333
59,1,1,0,0,1,1,1.3333333333333333
60,1,1,0,1,0,0,1.1666666666666667
61,1,1,0,1,0,1,1.6666666666666667
62,1,1,0,1,1,0,1.1666666666666667
63,1,1,0,1,1,1,1.6666666666666667
64,1,1,1,0,0,0,1.0
65,1,1,1,0,0,1,1.1666666666666667
66,1,1,1,0,1,0,1.1666666666666667
67,1,1,1,0,1,1,1.1666666666666667
68,1,1,1,1,0,0,1.1666666666666667
69,1,1,1,1,0,1,1.1666666666666667
70,1,1,1,1,1,0,1.1666666666666667
71,1,1,1,1,1,1,1.1666666666666667
72,1,1,2,0,0,0,1.0
73,1,1,2,0,0,1,1.1666666666666667
74,1,1,2,0,1,0,1.1666666666666667
75,1,1,2,0,1,1,1.1666666666666667
76,1,1,2,1,0,0,1.1666666666666667
77,1,1,2,1,0,1,1.1666666666666667
78,1,1,2,1,1,0,1.1666666666666667
79,1,1,2,1,1,1,1.1666666666666667
80,1,1,3,0,0,0,1.1666666666666667
81,1,1,3,0,0,1,1.1666666666666667
82,1,1,3,0,1,0,1.1666666666666667
83,1,1,3,0,1,1,1.1666666666666667
84,1,1,3,1,0,0,1.1666666666666667
85,1,1,3,1,0,1,1.1666666666666667
86,1,1,3,1,1,0,1.1666666666666667
87,1,1,3,1,1,1,1.1666666666666667
88,1,1,4,0,0,0,1.0
89,1,1,4,0,0,1,1.1666666666666667
90,1,1,4,0,1,0,1.0
91,1,1,4,0,1,1,1.1666666666666667
92,1,1,4,1,0,0,1.0
93,1,1,4,1,0,1,1.1666666666666667
94,1,1,4,1,1,0,1.1666666666666667
95,1,1,4,1,1,1,1.1666666666666667
