,has_desc,is_docile,description,has_goal,care_difficulty,selection,PS Score
0,0,0,0,0,0,0,2.3333333333333335
1,0,0,0,0,0,1,2.3333333333333335
2,0,0,0,0,1,0,2.0
3,0,0,0,0,1,1,2.1666666666666665
4,0,0,0,1,0,0,2.8333333333333335
5,0,0,0,1,0,1,2.8333333333333335
6,0,0,0,1,1,0,2.8333333333333335
7,0,0,0,1,1,1,2.8333333333333335
8,0,1,0,0,0,0,1.1666666666666667
9,0,1,0,0,0,1,1.3333333333333333
10,0,1,0,0,1,0,1.1666666666666667
11,0,1,0,0,1,1,1.1666666666666667
12,0,1,0,1,0,0,2.5
13,0,1,0,1,0,1,2.6666666666666665
14,0,1,0,1,1,0,2.6666666666666665
15,0,1,0,1,1,1,2.6666666666666665
16,1,0,0,0,0,0,2.3333333333333335
17,1,0,0,0,0,1,2.3333333333333335
18,1,0,0,0,1,0,2.5
19,1,0,0,0,1,1,2.5
20,1,0,0,1,0,0,2.8333333333333335
21,1,0,0,1,0,1,2.8333333333333335
22,1,0,0,1,1,0,2.8333333333333335
23,1,0,0,1,1,1,2.8333333333333335
24,1,0,1,0,0,0,2.3333333333333335
25,1,0,1,0,0,1,2.3333333333333335
26,1,0,1,0,1,0,2.0
27,1,0,1,0,1,1,2.3333333333333335
28,1,0,1,1,0,0,2.8333333333333335
29,1,0,1,1,0,1,2.8333333333333335
30,1,0,1,1,1,0,2.8333333333333335
31,1,0,1,1,1,1,2.8333333333333335
32,1,0,2,0,0,0,2.3333333333333335
33,1,0,2,0,0,1,2.3333333333333335
34,1,0,2,0,1,0,2.3333333333333335
35,1,0,2,0,1,1,2.5
36,1,0,2,1,0,0,2.8333333333333335
37,1,0,2,1,0,1,2.8333333333333335
38,1,0,2,1,1,0,2.8333333333333335
39,1,0,2,1,1,1,2.8333333333333335
40,1,0,3,0,0,0,1.3333333333333333
41,1,0,3,0,0,1,2.3333333333333335
42,1,0,3,0,1,0,1.5
43,1,0,3,0,1,1,2.1666666666666665
44,1,0,3,1,0,0,2.8333333333333335
45,1,0,3,1,0,1,2.8333333333333335
46,1,0,3,1,1,0,2.8333333333333335
47,1,0,3,1,1,1,2.8333333333333335
48,1,0,4,0,0,0,1.3333333333333333
49,1,0,4,0,0,1,1.8333333333333333
50,1,0,4,0,1,0,1.3333333333333333
51,1,0,4,0,1,1,2.0
52,1,0,4,1,0,0,2.8333333333333335
53,1,0,4,1,0,1,2.8333333333333335
54,1,0,4,1,1,0,2.8333333333333335
55,1,0,4,1,1,1,2.8333333333333335
56,1,1,0,0,0,0,1.5
57,1,1,0,0,0,1,1.5
58,1,1,0,0,1,0,1.3333333333333333
59,1,1,0,0,1,1,1.5
60,1,1,0,1,0,0,2.5
61,1,1,0,1,0,1,2.6666666666666665
62,1,1,0,1,1,0,2.1666666666666665
63,1,1,0,1,1,1,2.6666666666666665
64,1,1,1,0,0,0,1.1666666666666667
65,1,1,1,0,0,1,1.5
66,1,1,1,0,1,0,1.1666666666666667
67,1,1,1,0,1,1,1.3333333333333333
68,1,1,1,1,0,0,2.1666666666666665
69,1,1,1,1,0,1,2.8333333333333335
70,1,1,1,1,1,0,2.0
71,1,1,1,1,1,1,2.6666666666666665
72,1,1,2,0,0,0,1.3333333333333333
73,1,1,2,0,0,1,1.3333333333333333
74,1,1,2,0,1,0,1.3333333333333333
75,1,1,2,0,1,1,1.3333333333333333
76,1,1,2,1,0,0,2.1666666666666665
77,1,1,2,1,0,1,2.6666666666666665
78,1,1,2,1,1,0,2.1666666666666665
79,1,1,2,1,1,1,2.6666666666666665
80,1,1,3,0,0,0,1.3333333333333333
81,1,1,3,0,0,1,1.3333333333333333
82,1,1,3,0,1,0,1.1666666666666667
83,1,1,3,0,1,1,1.3333333333333333
84,1,1,3,1,0,0,2.0
85,1,1,3,1,0,1,2.5
86,1,1,3,1,1,0,2.0
87,1,1,3,1,1,1,2.5
88,1,1,4,0,0,0,1.1666666666666667
89,1,1,4,0,0,1,1.1666666666666667
90,1,1,4,0,1,0,1.1666666666666667
91,1,1,4,0,1,1,1.1666666666666667
92,1,1,4,1,0,0,2.3333333333333335
93,1,1,4,1,0,1,2.5
94,1,1,4,1,1,0,2.0
95,1,1,4,1,1,1,2.5
